id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B02CD02D32,[],大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡大学,"111.316006,30.722519",0717-6392665;0717-6392282,111.316006,30.722519
B0FFHPOSYM,[],胜利三路33号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡大学,"111.306429,30.689274",[],111.306429,30.689274
B02CD02ITW,B02CD02D32,城东大道三峡大学,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学医学院,"111.316494,30.721647",[],111.316494,30.721647
B02CD03X4J,B0FFHPOSYM,胜利三路33号,湖北省,宜昌市,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校,141206|141201,0,309,西陵区,三峡大学中区,"111.306503,30.689011",[],111.306503,30.689011
B0FFJ7XHZJ,B02CD02D32,云林路21号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学西苑,"111.310352,30.725003",[],111.310352,30.725003
B02CD0QSDB,B02CD02D32,三峡大学大学路18号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-科技学院,"111.320150,30.722985",0717-6399869;0717-6394010,111.320150,30.722985
B0FFF05JGK,B02CD02D32,三峡大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-工程训练中心,"111.312083,30.718239",[],111.312083,30.718239
B02CD01421,B02CD02D32,西陵街道大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学信息技术中心,"111.314246,30.722928",0717-6392281,111.314246,30.722928
B02CD0QK6T,B0FFHPOSYM,夷陵大道181号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,伍家岗区,三峡大学医学院(西区),"111.305656,30.685738",[],111.305656,30.685738
B02CD0PQB4,B02CD02D32,云深路三峡大学,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学生命科学楼,"111.316400,30.721258",0717-6392665,111.316400,30.721258
B02CD0R8SU,B02CD02D32,三峡大学大学路8号南苑学生公寓6栋,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学外国语学院,"111.317363,30.724255",[],111.317363,30.724255
B02CD0RFUZ,B02CD02D32,大学路6号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学经济与管理学院,"111.318012,30.724913",[],111.318012,30.724913
B02CD0R8T0,B02CD02D32,大学路与求索路交叉口东北约140米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-研究生处,"111.314236,30.722952",[],111.314236,30.722952
B0G3MAUTNK,[],胜利三路与胜利３路４６交叉口东北约220米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,[],西陵区,三峡大学医学部,"111.307204,30.690072",0717-6486251,111.307204,30.690072
B0FFLB3F9D,B02CD02D32,大学路与求索路交叉口南460米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学创新创业教育学院,"111.311925,30.717965",[],111.311925,30.717965
B02CD01458,B02CD02D32,窑湾街道大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-理学院,"111.312799,30.721249",0717-6392370,111.312799,30.721249
B0FFF3Z2CU,B02CD02D32,求索路,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-教务处,"111.314160,30.722988",[],111.314160,30.722988
B02CD0RFU4,B02CD02D32,窑湾街道大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-艺术学院,"111.312498,30.720170",0717-6397128,111.312498,30.720170
B02CD0R8SR,B02CD02D32,云林路状元楼F1-14号水电楼斜对面,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学计算机与信息学院,"111.312635,30.727357",[],111.312635,30.727357
B02CD0RGES,B02CD02D32,三峡大学大学路西苑12栋,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学土木与建筑学院,"111.310041,30.727247",[],111.310041,30.727247
B0FFHRCCS7,B02CD02D32,西陵街道大学路8号(三峡大学),湖北省,宜昌市,科教文化服务;学校;高等院校|科教文化服务;科研机构;科研机构,141201|141300,0,309,西陵区,三峡大学电力科技研究院,"111.311810,30.726075",[],111.311810,30.726075
B0FFKEJLZF,B02CD02D32,大学路与求索路交叉口西南100米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学山峡数学研究中心,"111.312817,30.721190",[],111.312817,30.721190
B02CD0QK7M,B02CD02D32,大学路8号(三峡大学),湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学国际文化交流学院,"111.314203,30.722972",[],111.314203,30.722972
B0FFF2QVWC,B02CD02D32,三峡大学内,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-水工厅,"111.312498,30.726902",[],111.312498,30.726902
B0FFI7Y871,B02CD02D32,大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学土木与建筑学院,"111.312535,30.72068",[],111.312535,30.72068
B0FFK3JSSR,B02CD02D32,云海路与学海路交叉口南200米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-双创园,"111.310612,30.724461",[],111.310612,30.724461
B02CD0R8ST,B02CD02D32,大学路8号,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学田家炳教育学院,"111.317373,30.724152",[],111.317373,30.724152
B02CD0QT2D,B02CD02D32,大成路与云海路交叉口西南约200米,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学-巴楚文化研究所,"111.317676,30.724185",[],111.317676,30.724185
B0FFG8343G,B0FFHPOSYM,三峡大学内,湖北省,宜昌市,科教文化服务;学校;高等院校,141201,0,309,西陵区,三峡大学少数民族预科教育学院,"111.306233,30.69066",[],111.306233,30.69066
