id,type,discount_num,gridcode,citycode,adname,tel,tag,entr_location,timestamp,address,adcode,pname,cityname,name,location,biz_ext.rating,lng,lat
B0FFILHHFN,住宿服务;宾馆酒店;经济型连锁酒店,0,4512326121,716,沙市区,0716-4097666,宵夜,"112.268965,30.306632",2022/12/31 0:25,"红星北路25号原金隆大厦,红星北路与杨林堤路交汇处",421002,湖北省,荆州市,城市便捷酒店(荆州红星路店),"112.269190,30.306469",4.7,112.26919,30.306469
B0FFHTZRM5,住宿服务;宾馆酒店;经济型连锁酒店,0,4514629622,27,武昌区,027-88125125,[],"114.334334,30.582374",2022/12/30 9:07,友谊大道三角花园A1栋,420106,湖北省,武汉市,城市便捷酒店(武汉湖北大学店),"114.334310,30.582419",4.6,114.33431,30.582419
B0FFHXMDEA,住宿服务;宾馆酒店;宾馆酒店,0,4512411821,716,荆州区,0716-8359555;15629834829,[],"112.232463,30.349157",2022/12/31 0:18,景明观路4号,421003,湖北省,荆州市,致馨栀子花开酒店(荆州草市百富店),"112.232545,30.349616",4.4,112.232545,30.349616
B0FFG9A8DQ,住宿服务;旅馆招待所;旅馆招待所,0,4513719311,1728,天门市,0728-5225999,[],"113.170323,30.661498",2022/12/30 17:14,"竟陵大道鸿渐路天门日报对面,近陆羽广场",429006,湖北省,天门市,V9城市客栈(天门陆羽广场店),"113.169901,30.661470",4,113.169901,30.66147
B0FFF40LWB,住宿服务;宾馆酒店;四星级宾馆,0,4511729620,717,伍家岗区,0717-6927999,"自助餐,自助早餐","111.327187,30.663811",2022/12/30 11:18,沿江大道188号新外滩领馆1、21-26层,420503,湖北省,宜昌市,凯盛美季酒店(宜昌滨江店),"111.327113,30.664033",4.5,111.327113,30.664033
B06B7000UO,住宿服务;宾馆酒店;宾馆酒店,0,4710459302,1719,神农架林区,0719-3334833;13886843217,[],"110.673627,31.743337",2022/12/31 0:18,"松柏镇沿河路,神农大道159号",429021,湖北省,神农架林区,神农架一品楼宾馆,"110.673604,31.743237",4.4,110.673604,31.743237
B0FFFK3EC4,住宿服务;宾馆酒店;经济型连锁酒店,0,4810767211,719,茅箭区,0719-8695757,[],"110.782887,32.646157",2022/12/31 0:30,朝阳中路31号(邮电街桥头),420302,湖北省,十堰市,汉庭酒店(十堰人民广场店),"110.782555,32.646188",4.6,110.782555,32.646188
B0FFGRFPVH,住宿服务;宾馆酒店;宾馆酒店,0,4514572902,713,黄州区,13871990360;18327757967,[],[],2022/12/30 11:14,桃源街109号,421102,湖北省,黄冈市,黄冈天悦宾馆,"114.999447,30.435128",3.9,114.999447,30.435128
B001B17CBB,住宿服务;宾馆酒店;经济型连锁酒店,0,4514720700,27,武昌区,027-88733888,[],"114.338137,30.585859",2022/12/31 0:23,团结路12号(秦园路103号佳馨花园小区),420106,湖北省,武汉市,速8酒店(武汉徐家棚地铁站店),"114.338032,30.585930",4.4,114.338032,30.58593
B001B16MB8,住宿服务;宾馆酒店;宾馆酒店,0,4514721900,27,洪山区,027-86679969,[],[],2022/12/31 0:32,徐东团结大道1053号,420111,湖北省,武汉市,武汉玉希商务酒店,"114.365159,30.593396",4.6,114.365159,30.593396
B0FFKOYJ7I,住宿服务;宾馆酒店;宾馆酒店,0,4611122502,717,夷陵区,0717-7828188,[],"111.322837,30.767448",2022/12/31 0:17,兴安社区百花二巷3号,420506,湖北省,宜昌市,7天优品酒店(宜昌夷陵店),"111.322750,30.767823",4.3,111.32275,30.767823
B02CD0R3RL,住宿服务;宾馆酒店;宾馆酒店,0,4511634400,717,猇亭区,0717-6909333;0717-6997824,[],"111.428424,30.533859",2022/12/30 20:03,金猇路67号,420505,湖北省,宜昌市,隆桥大酒店,"111.428177,30.533981",4.6,111.428177,30.533981
B0FFGROC2N,住宿服务;宾馆酒店;宾馆酒店,0,4514629221,27,江汉区,17786124956,热干面,"114.283439,30.582358",2022/12/30 9:06,前进四路227号花样年华大厦1层3室,420103,湖北省,武汉市,希尔曼咖啡花园酒店(武汉亚心医院店),"114.283326,30.582292",4.2,114.283326,30.582292
B0FFFO43OE,住宿服务;宾馆酒店;宾馆酒店,0,4812017021,710,樊城区,0710-3327333,一条龙,"112.132949,32.064048",2022/12/30 15:58,万达广场步行街万紫千红写字楼1层,420606,湖北省,襄阳市,盛景怡家酒店(襄阳万达广场店),"112.132976,32.064224",4.3,112.132976,32.064224
B0FFIDBZU9,住宿服务;宾馆酒店;宾馆酒店,0,4611021501,717,伍家岗区,0717-6551777;0717-6673777,[],"111.317904,30.676443",2022/12/31 0:29,东山大道314号,420503,湖北省,宜昌市,格林豪泰酒店(宜昌万达滨江店),"111.317544,30.676319",4.6,111.317544,30.676319
B0FFK3I1AK,住宿服务;宾馆酒店;宾馆酒店,0,4614125321,27,黄陂区,027-61768118,[],"114.294371,30.79908",2022/12/31 0:18,横店街金泽雅都商业单元3层,420116,湖北省,武汉市,雅斯特酒店(武汉天河机场横店街店),"114.294751,30.798906",3.9,114.294751,30.798906
B0FFL913ZV,住宿服务;宾馆酒店;宾馆酒店,0,4514548201,27,江夏区,027-88863332,[],"114.529782,30.485163",2022/12/31 0:28,高新大道818号高科医疗器械园内,420115,湖北省,武汉市,武汉高科园酒店,"114.529558,30.485294",4.6,114.529558,30.485294
B0FFHWAQ7G,住宿服务;宾馆酒店;宾馆酒店,0,4514575220,713,黄州区,0713-8889666,[],"114.900713,30.464144",2022/12/30 20:15,赤壁二路8号,421102,湖北省,黄冈市,觅·青年树酒店(黄冈万达广场店),"114.900602,30.464141",4.5,114.900602,30.464141
B0AA80LXDZ,住宿服务;宾馆酒店;宾馆酒店,0,4512243820,2728,潜江市,0728-8152656;0728-8152888,[],"112.602138,30.197270",2022/12/30 9:16,张金镇齐力大道1号,429005,湖北省,潜江市,嘉裕花园酒店(潜江张金镇店),"112.602019,30.197308",3,112.602019,30.197308
B0FFIMCONA,住宿服务;宾馆酒店;宾馆酒店,0,4512319900,716,沙市区,0716-4129288,[],[],2022/12/30 17:14,北湖路24-3号,421002,湖北省,荆州市,致馨栀子花开酒店(荆州文湖一店),"112.240587,30.326530",4.6,112.240587,30.32653
B0FFHKCIZG,住宿服务;宾馆酒店;宾馆酒店,0,4514721700,27,武昌区,027-82626088,酸梅汤,"114.340287,30.592848",2022/12/31 0:19,徐东大街3号,420106,湖北省,武汉市,武汉华怡酒店,"114.340541,30.593113",4,114.340541,30.593113
B06C00LZTV,住宿服务;宾馆酒店;宾馆酒店,0,4513716221,1728,天门市,0728-5228888,[],"113.156126,30.640136",2022/12/30 8:39,接官路90号,429006,湖北省,天门市,海凡星世贸酒店,"113.156424,30.640021",4.2,113.156424,30.640021
B06C0000RD,住宿服务;宾馆酒店;三星级宾馆,0,4513718311,1728,天门市,0728-8505818;0728-8505888,[],"113.170603,30.652626",2022/12/31 0:13,竟陵镇东湖路6号,429006,湖北省,天门市,君佳东湖酒店,"113.170422,30.652746",4.3,113.170422,30.652746
B001B0IHQE,住宿服务;宾馆酒店;经济型连锁酒店,0,4514720221,27,江岸区,027-85762777,[],"114.282769,30.589458",2022/12/30 9:04,渣家左路296号,420102,湖北省,武汉市,如家酒店(武汉循礼门地铁站江汉北路店),"114.282489,30.589446",4.6,114.282489,30.589446
