citycode,adname,tag,timestamp,address,name,location,rating,lng,lat
2728,潜江市,宵夜,2022/12/30 9:16,张金镇齐力大道1号,嘉裕花园酒店(潜江张金镇店),"112.602019,30.197308",3,112.602019,30.197308
728,仙桃市,自助早餐,2022/12/30 17:11,仙桃大道66号(近武商仙桃购物中心),凤凰酒店(仙桃大道),"113.457036,30.360619",3.1,113.457036,30.360619
27,洪山区,小吃街,2022/12/30 9:04,桂元路202号(华中师范大学南门多芬艺术隔壁),武汉豆丁酒店(华中师范大学店),"114.358052,30.512760",3.5,114.358052,30.51276
728,仙桃市,小吃街,2022/12/30 17:15,复州大道16号(近仙桃商城大厦),仙桃纽芬兰时尚酒店(西桥店),"113.432548,30.372658",3.6,113.432548,30.372658
717,伍家岗区,其他,2022/12/30 9:36,中南路西,泰禾商务酒店,"111.333400,30.682080",3.6,111.3334,30.68208
716,荆州区,宵夜,2022/12/31 0:14,关沮镇荆沙大道两湖绿谷2楼行政楼,两湖西联酒店,"112.239916,30.354365",3.7,112.239916,30.354365
712,孝南区,小吃街,2022/12/30 22:41,南方国际C2栋5-7层,孝感志诚商务宾馆,"113.934227,30.896211",3.7,113.934227,30.896211
27,洪山区,自助早餐,2022/12/31 0:20,佛祖岭东街一号烽云慧城小区8栋,武汉烽云慧城精品酒店,"114.483539,30.467078",3.7,114.483539,30.467078
718,宣恩县,自助早餐,2022/12/30 9:20,珠山镇建设路6号(新欣商城旁),宣恩新欣大酒店,"109.482568,29.989953",3.8,109.482568,29.989953
718,巴东县,自助早餐,2022/12/30 9:01,野三关发展大道39号,巴东峡州野三关国际大酒店,"110.324353,30.627185",3.8,110.324353,30.627185
2728,潜江市,自助餐,2022/12/30 8:41,潜江经济开发区章华南路万豪假日酒店旁马家台小区61号,潜江万豪假日酒店,"112.900231,30.391500",3.8,112.900231,30.3915
728,仙桃市,自助早餐,2022/12/30 9:48,纺织大道1号仙桃收费站高速入口,金港湾大酒店(宏达路辅路),"113.427459,30.343896",3.8,113.427459,30.343896
710,襄城区,其他,2022/12/30 9:10,双湖路(广电中心西侧),楚汉香大酒店,"112.112721,32.005533",3.8,112.112721,32.005533
718,巴东县,自助早餐,2022/12/30 9:51,野三关镇沪蓉大道666号(巴东县民族医院旁),巴人之都大酒店,"110.333934,30.622774",3.9,110.333934,30.622774
713,黄州区,自助早餐,2022/12/30 11:14,桃源街109号,黄冈天悦宾馆,"114.999447,30.435128",3.9,114.999447,30.435128
719,茅箭区,小吃街,2022/12/31 0:28,人民南路7号,十堰长泰酒店(三堰人民南路客运站店),"110.779966,32.626338",3.9,110.779966,32.626338
27,黄陂区,自助早餐,2022/12/31 0:18,横店街金泽雅都商业单元3层,雅斯特酒店(武汉天河机场横店街店),"114.294751,30.798906",3.9,114.294751,30.798906
27,东西湖区,自助早餐,2022/12/30 9:05,田园大道101号智能科技综合大楼11-13层,武汉升华商务酒店,"114.106157,30.621854",3.9,114.106157,30.621854
27,洪山区,自助早餐,2022/12/31 0:24,"江盛路108号(列电小区旁,农家小院武昌店旁)",德汉豪泰酒店(武汉白沙洲烽火村地铁站店),"114.294188,30.507026",3.9,114.294188,30.507026
27,武昌区,小吃街,2022/12/31 0:17,紫阳东路万金国际广场B楼(武昌火车站地铁D出口),77连锁酒店(武昌火车站店),"114.317062,30.531211",3.9,114.317062,30.531211
27,汉阳区,自助早餐,2022/12/30 9:04,马鹦路161号,中青假日酒店(鹦鹉大道店),"114.250829,30.538142",3.9,114.250829,30.538142
728,仙桃市,自助早餐,2022/12/31 0:23,沔阳大道75号,海凡星华冠酒店,"113.458355,30.369164",3.9,113.458355,30.369164
718,利川市,自助早餐,2022/12/31 0:22,滨江路教场村2组(近蓝色水岸),半岛丽景酒店,"108.953630,30.286444",4,108.95363,30.286444
718,恩施市,自助早餐,2022/12/30 11:57,旗峰大道274号,恩施土司王朝大酒店,"109.472820,30.309138",4,109.47282,30.309138
718,利川市,自助早餐,2022/12/31 0:31,南环大道56号,鑫源宾馆(南环大道),"108.942965,30.280143",4,108.942965,30.280143
2728,潜江市,宵夜,2022/12/30 6:27,章华中路51号,潜江大酒店,"112.898105,30.420866",4,112.898105,30.420866
719,张湾区,自助餐,2022/12/30 4:06,车城西路249号(红卫转盘处),泊岸SOHO酒店,"110.736514,32.641962",4,110.736514,32.641962
1728,天门市,小吃街,2022/12/30 17:14,"竟陵大道鸿渐路天门日报对面,近陆羽广场",V9城市客栈(天门陆羽广场店),"113.169901,30.661470",4,113.169901,30.66147
27,武昌区,自助早餐,2022/12/31 0:19,徐东大街3号,武汉华怡酒店,"114.340541,30.593113",4,114.340541,30.593113
27,江汉区,自助早餐,2022/12/30 9:03,发展大道213号(范湖地铁站J口步行450米),锦江之星(武汉汉口火车站店),"114.263895,30.616839",4,114.263895,30.616839
27,黄陂区,自助早餐,2022/12/30 9:07,横店街道园春街111号益丰大药房左侧巷子内,武汉祥和宾馆,"114.295908,30.801995",4,114.295908,30.801995
27,江岸区,自助早餐,2022/12/31 0:09,洞庭街34号金花之星酒店,金花之星酒店(江汉路步行街江滩店),"114.298477,30.582178",4,114.298477,30.582178
728,仙桃市,自助早餐,2022/12/30 20:52,仙桃大道中段64号(钱沟路交汇处)武商仙桃购物中心,怡家国际酒店(仙桃武商店),"113.456077,30.360377",4,113.456077,30.360377
717,猇亭区,其他,2022/12/31 0:22,猇亭大道12号,虹桥假日酒店,"111.402362,30.569047",4,111.402362,30.569047
718,宣恩县,自助早餐,2022/12/30 8:27,兴隆大道172号(近文澜桥),宣恩摆手源国际大酒店,"109.497513,29.990158",4.1,109.497513,29.990158
718,咸丰县,自助早餐,2022/12/31 0:25,解放路323号(近人民医院),乐山大酒店,"109.152243,29.681283",4.1,109.152243,29.681283
716,沙市区,宵夜,2022/12/31 0:29,沙隆达广场东侧,速8酒店(荆州沙隆达广场店),"112.249848,30.308282",4.1,112.249848,30.308282
716,沙市区,宵夜,2022/12/30 7:38,武德路观邸商业18号,茉莉花开连锁酒店(荆州武德路万达广场店),"112.229705,30.341868",4.1,112.229705,30.341868
2728,潜江市,宵夜,2022/12/31 0:13,湖滨路11号,潜江宾馆,"112.888718,30.424465",4.1,112.888718,30.424465
27,江夏区,自助早餐,2022/12/30 9:04,金口街金水闸金水农场医院对面,武汉金铃宾馆,"114.133399,30.298173",4.1,114.133399,30.298173
2728,潜江市,宵夜,2022/12/31 0:15,建设街88号,潜江钻石国际大酒店,"112.893270,30.423463",4.2,112.89327,30.423463
1728,天门市,小吃街,2022/12/30 8:39,接官路90号,海凡星世贸酒店,"113.156424,30.640021",4.2,113.156424,30.640021
27,江汉区,自助早餐,2022/12/30 9:06,前进四路227号花样年华大厦1层3室,希尔曼咖啡花园酒店(武汉亚心医院店),"114.283326,30.582292",4.2,114.283326,30.582292
27,江汉区,自助早餐,2022/12/31 0:10,发展大道176号(汉口火车站地铁站D1口步行90米),橙子水晶连锁酒店(武汉汉口火车站店),"114.254270,30.613518",4.2,114.25427,30.613518
27,黄陂区,自助早餐,2022/12/30 9:04,前川街金堂街75号,恒8连锁酒店(武汉木兰广场店),"114.367608,30.878425",4.2,114.367608,30.878425
27,江岸区,自助早餐,2022/12/30 9:04,香港路109号(苗栗路地铁站C口步行120米),香缘酒店(武汉儿童医院店),"114.288883,30.600325",4.2,114.288883,30.600325
27,江夏区,小吃街,2022/12/30 9:07,东湖开发区流芳园横路3号(武汉天马微电子对面),城市便捷酒店(武汉光谷二路流芳店),"114.446543,30.460385",4.2,114.446543,30.460385
27,武昌区,自助早餐,2022/12/30 6:37,南湖花园城瑞安街271号,武汉鑫瑞达商务酒店,"114.323331,30.513247",4.2,114.323331,30.513247
